iteration	t (ms)	leakageParameters:E_L (mV)	leakageParameters:g_L (mS_per_cm2)	membraneParameters:Cm (microF_per_cm2)	potassiumChannelParameters:E_K (mV)	potassiumChannelParameters:g_K (milliS_per_cm2)	sodiumChannelParameters:E_Na (mV)	sodiumChannelParameters:g_Na (mS_per_cm2)	controller:i_stim (microA_per_cm2)	sodiumChannelEquations:Na_conductance (mS_per_cm2)	sodiumChannelEquations:i_Na (microA_per_cm2)	mGateEquations:alpha_m (per_ms)	mGateEquations:beta_m (per_ms)	hGateEquations:alpha_h (per_ms)	hGateEquations:beta_h (per_ms)	potassiumChannelEquations:i_K (microA_per_cm2)	nGateEquations:alpha_n (per_ms)	nGateEquations:beta_n (per_ms)	leakageEquations:i_L (microA_per_cm2)	membraneEquations:i_tot (microA_per_cm2)	importedGateM:X (dimensionless)	importedGateH:X (dimensionless)	importedGate:X (dimensionless)	membraneEquations:V (mV)
862	 8.62-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.377145	 -21.8764	 2.89407	 0.222617	 0.00520053	 0.900202	 24.3803	 0.178739	 0.0937609	 9.41841	 11.9223	 	0.942625	0.00376509	0.324199	-23.1245
863	 8.63-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.37842	 -21.9955	 2.88378	 0.224097	 0.00523162	 0.899126	 24.6074	 0.179581	 0.0936212	 9.38265	 11.9946	 	0.942168	0.00378335	0.325109	-23.2445
864	 8.64-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.379702	 -22.1155	 2.87344	 0.225595	 0.00526309	 0.898033	 24.8367	 0.18043	 0.093481	 9.34666	 12.0678	 	0.941704	0.00380181	0.326023	-23.3651
865	 8.65-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.380991	 -22.2366	 2.86305	 0.227113	 0.00529494	 0.896922	 25.068	 0.181286	 0.0933401	 9.31046	 12.1419	 	0.941234	0.00382046	0.32694	-23.4866
866	 8.66-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.382287	 -22.3587	 2.85261	 0.22865	 0.00532719	 0.895794	 25.3014	 0.18215	 0.0931985	 9.27403	 12.2168	 	0.940758	0.0038393	0.327861	-23.6087
867	 8.67-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.383591	 -22.4818	 2.84212	 0.230207	 0.00535983	 0.894648	 25.537	 0.18302	 0.0930563	 9.23738	 12.2926	 	0.940277	0.00385835	0.328786	-23.7317
868	 8.68-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.384901	 -22.6059	 2.83158	 0.231785	 0.00539287	 0.893484	 25.7747	 0.183899	 0.0929134	 9.2005	 12.3694	 	0.939788	0.00387759	0.329715	-23.8553
869	 8.69-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.386219	 -22.731	 2.82098	 0.233383	 0.00542633	 0.892301	 26.0146	 0.184785	 0.0927699	 9.1634	 12.447	 	0.939293	0.00389705	0.330648	-23.9798
870	 8.7-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.387544	 -22.8573	 2.81033	 0.235002	 0.0054602	 0.891099	 26.2567	 0.185678	 0.0926256	 9.12606	 12.5255	 	0.938792	0.00391671	0.331585	-24.1051
871	 8.71-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.388876	 -22.9845	 2.79963	 0.236643	 0.00549451	 0.889878	 26.5009	 0.18658	 0.0924807	 9.08848	 12.6049	 	0.938284	0.00393659	0.332525	-24.2311
872	 8.72-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.390215	 -23.1129	 2.78887	 0.238306	 0.00552924	 0.888636	 26.7474	 0.187489	 0.0923351	 9.05066	 12.6852	 	0.937769	0.00395668	0.333469	-24.358
873	 8.73-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.391562	 -23.2423	 2.77806	 0.239992	 0.00556443	 0.887375	 26.9961	 0.188406	 0.0921888	 9.01261	 12.7664	 	0.937248	0.00397699	0.334418	-24.4856
874	 8.74-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.392915	 -23.3728	 2.76719	 0.2417	 0.00560006	 0.886093	 27.247	 0.189332	 0.0920418	 8.97431	 12.8485	 	0.936719	0.00399753	0.33537	-24.6141
875	 8.75-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.394276	 -23.5044	 2.75627	 0.243431	 0.00563615	 0.884789	 27.5002	 0.190265	 0.0918941	 8.93576	 12.9315	 	0.936183	0.0040183	0.336327	-24.7434
876	 8.76-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.395644	 -23.6372	 2.7453	 0.245186	 0.00567271	 0.883465	 27.7557	 0.191207	 0.0917457	 8.89697	 13.0155	 	0.935639	0.00403929	0.337287	-24.8736
877	 8.77-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.39702	 -23.771	 2.73426	 0.246966	 0.00570975	 0.882118	 28.0134	 0.192157	 0.0915966	 8.85792	 13.1003	 	0.935088	0.00406053	0.338251	-25.0046
878	 8.78-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.398402	 -23.906	 2.72318	 0.24877	 0.00574727	 0.880749	 28.2735	 0.193116	 0.0914467	 8.81862	 13.1861	 	0.93453	0.00408201	0.33922	-25.1365
879	 8.79-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.399792	 -24.0421	 2.71203	 0.250599	 0.00578529	 0.879357	 28.5359	 0.194084	 0.0912961	 8.77906	 13.2729	 	0.933963	0.00410373	0.340193	-25.2692
880	 8.8-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.401189	 -24.1794	 2.70083	 0.252453	 0.00582381	 0.877942	 28.8006	 0.19506	 0.0911448	 8.73925	 13.3605	 	0.933389	0.0041257	0.34117	-25.4028
881	 8.81-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.402594	 -24.3178	 2.68957	 0.254334	 0.00586284	 0.876503	 29.0677	 0.196044	 0.0909927	 8.69916	 13.4491	 	0.932807	0.00414792	0.342151	-25.5373
882	 8.82-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.404005	 -24.4574	 2.67825	 0.256242	 0.0059024	 0.87504	 29.3372	 0.197038	 0.0908398	 8.65882	 13.5386	 	0.932216	0.00417041	0.343136	-25.6727
883	 8.83-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.405424	 -24.5982	 2.66688	 0.258176	 0.00594249	 0.873552	 29.6091	 0.198041	 0.0906862	 8.6182	 13.6291	 	0.931617	0.00419315	0.344126	-25.809
884	 8.84-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.40685	 -24.7401	 2.65544	 0.260138	 0.00598313	 0.872039	 29.8833	 0.199053	 0.0905319	 8.57731	 13.7205	 	0.931009	0.00421617	0.34512	-25.9462
885	 8.85-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.408283	 -24.8833	 2.64395	 0.262129	 0.00602431	 0.8705	 30.16	 0.200074	 0.0903767	 8.53615	 13.8129	 	0.930393	0.00423945	0.346118	-26.0843
886	 8.86-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.409723	 -25.0277	 2.6324	 0.264148	 0.00606606	 0.868935	 30.4391	 0.201104	 0.0902208	 8.49471	 13.9062	 	0.929768	0.00426302	0.347121	-26.2234
887	 8.87-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.411171	 -25.1732	 2.62079	 0.266197	 0.00610839	 0.867343	 30.7207	 0.202144	 0.0900641	 8.45299	 14.0005	 	0.929133	0.00428687	0.348128	-26.3634
888	 8.88-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.412625	 -25.3201	 2.60912	 0.268275	 0.0061513	 0.865723	 31.0048	 0.203194	 0.0899066	 8.41099	 14.0957	 	0.92849	0.00431101	0.34914	-26.5043
889	 8.89-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.414087	 -25.4681	 2.59739	 0.270384	 0.0061948	 0.864076	 31.2913	 0.204253	 0.0897484	 8.36871	 14.1919	 	0.927837	0.00433544	0.350156	-26.6462
890	 8.9-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.415555	 -25.6174	 2.5856	 0.272525	 0.00623892	 0.862401	 31.5804	 0.205322	 0.0895893	 8.32613	 14.2891	 	0.927174	0.00436017	0.351176	-26.7891
891	 8.91-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.417031	 -25.768	 2.57374	 0.274697	 0.00628365	 0.860697	 31.8719	 0.206401	 0.0894294	 8.28326	 14.3872	 	0.926501	0.0043852	0.352202	-26.933
892	 8.92-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.418513	 -25.9198	 2.56183	 0.276901	 0.00632902	 0.858963	 32.166	 0.20749	 0.0892687	 8.2401	 14.4863	 	0.925819	0.00441055	0.353231	-27.0779
893	 8.93-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.420002	 -26.0728	 2.54986	 0.279139	 0.00637503	 0.857199	 32.4626	 0.208589	 0.0891072	 8.19664	 14.5864	 	0.925126	0.00443621	0.354266	-27.2237
894	 8.94-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.421498	 -26.2272	 2.53782	 0.28141	 0.00642169	 0.855404	 32.7618	 0.209698	 0.0889449	 8.15288	 14.6875	 	0.924423	0.00446219	0.355305	-27.3706
895	 8.95-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.423001	 -26.3828	 2.52573	 0.283715	 0.00646902	 0.853578	 33.0636	 0.210818	 0.0887818	 8.10882	 14.7896	 	0.923709	0.00448851	0.356348	-27.5185
896	 8.96-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.424511	 -26.5398	 2.51357	 0.286056	 0.00651704	 0.851719	 33.3679	 0.211948	 0.0886178	 8.06445	 14.8926	 	0.922984	0.00451515	0.357397	-27.6674
897	 8.97-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.426027	 -26.698	 2.50135	 0.288433	 0.00656575	 0.849829	 33.6749	 0.213089	 0.088453	 8.01977	 14.9967	 	0.922248	0.00454214	0.35845	-27.8174
898	 8.98-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.427549	 -26.8575	 2.48907	 0.290846	 0.00661516	 0.847905	 33.9845	 0.21424	 0.0882873	 7.97478	 15.1017	 	0.921501	0.00456948	0.359508	-27.9684
899	 8.99-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.429078	 -27.0184	 2.47672	 0.293296	 0.0066653	 0.845947	 34.2967	 0.215403	 0.0881208	 7.92948	 15.2078	 	0.920743	0.00459718	0.360571	-28.1205
900	 9-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.430613	 -27.1805	 2.46432	 0.295785	 0.00671618	 0.843955	 34.6115	 0.216576	 0.0879535	 7.88386	 15.3148	 	0.919973	0.00462523	0.361638	-28.2736
901	 9.01-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.432155	 -27.344	 2.45185	 0.298312	 0.0067678	 0.841927	 34.929	 0.21776	 0.0877852	 7.83791	 15.4229	 	0.91919	0.00465365	0.362711	-28.4279
902	 9.02-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.433702	 -27.5088	 2.43931	 0.300879	 0.0068202	 0.839864	 35.2491	 0.218956	 0.0876162	 7.79164	 15.532	 	0.918396	0.00468245	0.363789	-28.5832
903	 9.03-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.435256	 -27.675	 2.42672	 0.303487	 0.00687337	 0.837764	 35.572	 0.220163	 0.0874462	 7.74505	 15.642	 	0.917589	0.00471164	0.364871	-28.7396
904	 9.04-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.436815	 -27.8424	 2.41406	 0.306135	 0.00692734	 0.835626	 35.8975	 0.221381	 0.0872754	 7.69812	 15.7532	 	0.916769	0.00474121	0.365959	-28.8971
905	 9.05-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.43838	 -28.0113	 2.40134	 0.308826	 0.00698211	 0.833451	 36.2257	 0.222611	 0.0871037	 7.65086	 15.8653	 	0.915937	0.00477119	0.367052	-29.0558
906	 9.06-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.439951	 -28.1814	 2.38855	 0.31156	 0.00703772	 0.831237	 36.5566	 0.223853	 0.0869312	 7.60326	 15.9785	 	0.915091	0.00480157	0.368149	-29.2156
907	 9.07-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.441527	 -28.3529	 2.3757	 0.314338	 0.00709417	 0.828984	 36.8902	 0.225107	 0.0867577	 7.55533	 16.0927	 	0.914232	0.00483237	0.369252	-29.3765
908	 9.08-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.443108	 -28.5258	 2.36279	 0.317161	 0.00715148	 0.82669	 37.2266	 0.226372	 0.0865834	 7.50705	 16.2079	 	0.913359	0.00486359	0.37036	-29.5386
909	 9.09-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.444695	 -28.7	 2.34981	 0.32003	 0.00720968	 0.824356	 37.5657	 0.22765	 0.0864081	 7.45843	 16.3242	 	0.912472	0.00489524	0.371474	-29.7018
910	 9.1-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.446286	 -28.8755	 2.33678	 0.322946	 0.00726876	 0.82198	 37.9076	 0.22894	 0.086232	 7.40946	 16.4415	 	0.91157	0.00492733	0.372592	-29.8662
911	 9.11-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.447882	 -29.0524	 2.32367	 0.325909	 0.00732876	 0.819561	 38.2522	 0.230242	 0.0860549	 7.36013	 16.5599	 	0.910654	0.00495988	0.373716	-30.0318
912	 9.12-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.449482	 -29.2306	 2.31051	 0.328921	 0.0073897	 0.817099	 38.5995	 0.231556	 0.085877	 7.31045	 16.6793	 	0.909723	0.00499288	0.374846	-30.1986
913	 9.13-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.451087	 -29.4102	 2.29728	 0.331983	 0.00745158	 0.814593	 38.9496	 0.232884	 0.0856981	 7.26041	 16.7998	 	0.908777	0.00502635	0.37598	-30.3666
914	 9.14-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.452695	 -29.5912	 2.28398	 0.335096	 0.00751444	 0.812043	 39.3025	 0.234224	 0.0855184	 7.21001	 16.9214	 	0.907815	0.0050603	0.37712	-30.5358
915	 9.15-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.454308	 -29.7734	 2.27063	 0.338261	 0.00757829	 0.809446	 39.6582	 0.235577	 0.0853377	 7.15925	 17.044	 	0.906837	0.00509474	0.378266	-30.7063
916	 9.16-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.455923	 -29.957	 2.25721	 0.341479	 0.00764314	 0.806804	 40.0166	 0.236943	 0.085156	 7.10812	 17.1677	 	0.905844	0.00512968	0.379417	-30.878
917	 9.17-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.457542	 -30.142	 2.24372	 0.344752	 0.00770903	 0.804113	 40.3778	 0.238322	 0.0849735	 7.05661	 17.2925	 	0.904833	0.00516513	0.380573	-31.0509
918	 9.18-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.459164	 -30.3282	 2.23018	 0.34808	 0.00777598	 0.801375	 40.7418	 0.239714	 0.08479	 7.00474	 17.4184	 	0.903806	0.00520109	0.381736	-31.2251
919	 9.19-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.460789	 -30.5158	 2.21657	 0.351464	 0.00784399	 0.798588	 41.1086	 0.24112	 0.0846056	 6.95248	 17.5454	 	0.902762	0.00523759	0.382903	-31.4005
920	 9.2-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.462415	 -30.7046	 2.2029	 0.354907	 0.00791311	 0.795751	 41.4782	 0.24254	 0.0844203	 6.89985	 17.6734	 	0.9017	0.00527463	0.384077	-31.5772
921	 9.21-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.464044	 -30.8948	 2.18916	 0.358409	 0.00798335	 0.792864	 41.8506	 0.243973	 0.084234	 6.84683	 17.8026	 	0.90062	0.00531222	0.385256	-31.7553
922	 9.22-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.465674	 -31.0862	 2.17536	 0.361971	 0.00805473	 0.789925	 42.2257	 0.24542	 0.0840467	 6.79342	 17.9329	 	0.899522	0.00535038	0.386441	-31.9346
923	 9.23-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.467306	 -31.2789	 2.16151	 0.365596	 0.00812727	 0.786934	 42.6036	 0.246881	 0.0838585	 6.73962	 18.0643	 	0.898405	0.00538911	0.387632	-32.1152
924	 9.24-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.468938	 -31.4729	 2.14758	 0.369283	 0.00820101	 0.783889	 42.9843	 0.248356	 0.0836694	 6.68543	 18.1968	 	0.897269	0.00542843	0.388828	-32.2972
925	 9.25-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.47057	 -31.6681	 2.1336	 0.373035	 0.00827597	 0.78079	 43.3677	 0.249845	 0.0834793	 6.63084	 18.3305	 	0.896114	0.00546836	0.390031	-32.4805
926	 9.26-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.472203	 -31.8645	 2.11955	 0.376853	 0.00835217	 0.777637	 43.7539	 0.251349	 0.0832882	 6.57584	 18.4653	 	0.894939	0.0055089	0.391239	-32.6652
927	 9.27-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.473834	 -32.0621	 2.10545	 0.380739	 0.00842964	 0.774428	 44.1429	 0.252867	 0.0830962	 6.52045	 18.6013	 	0.893744	0.00555007	0.392453	-32.8512
928	 9.28-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.475465	 -32.2609	 2.09128	 0.384694	 0.00850841	 0.771162	 44.5346	 0.2544	 0.0829032	 6.46464	 18.7384	 	0.892528	0.00559188	0.393673	-33.0386
929	 9.29-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.477094	 -32.4608	 2.07705	 0.38872	 0.0085885	 0.767838	 44.9291	 0.255948	 0.0827093	 6.40843	 18.8767	 	0.89129	0.00563435	0.3949	-33.2273
930	 9.3-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.478721	 -32.6619	 2.06276	 0.392818	 0.00866994	 0.764456	 45.3262	 0.257511	 0.0825143	 6.3518	 19.0162	 	0.890032	0.00567749	0.396132	-33.4175
931	 9.31-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.480346	 -32.8641	 2.04842	 0.39699	 0.00875277	 0.761015	 45.7261	 0.259089	 0.0823184	 6.29475	 19.1568	 	0.888751	0.00572131	0.39737	-33.6091
932	 9.32-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.481967	 -33.0673	 2.03401	 0.401237	 0.00883701	 0.757513	 46.1287	 0.260682	 0.0821215	 6.23728	 19.2987	 	0.887448	0.00576584	0.398615	-33.8021
933	 9.33-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.483584	 -33.2716	 2.01954	 0.405562	 0.00892269	 0.753951	 46.5339	 0.262291	 0.0819237	 6.17938	 19.4417	 	0.886122	0.00581108	0.399866	-33.9965
934	 9.34-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.485197	 -33.4769	 2.00502	 0.409967	 0.00900985	 0.750326	 46.9418	 0.263915	 0.0817248	 6.12106	 19.586	 	0.884772	0.00585705	0.401123	-34.1923
935	 9.35-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.486805	 -33.6831	 1.99043	 0.414452	 0.00909852	 0.746639	 47.3524	 0.265555	 0.081525	 6.0623	 19.7315	 	0.883399	0.00590377	0.402386	-34.3896
936	 9.36-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.488406	 -33.8903	 1.97579	 0.41902	 0.00918873	 0.742888	 47.7655	 0.267211	 0.0813242	 6.00311	 19.8783	 	0.882001	0.00595126	0.403656	-34.5884
937	 9.37-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.490001	 -34.0984	 1.96109	 0.423673	 0.00928051	 0.739073	 48.1812	 0.268883	 0.0811223	 5.94347	 20.0263	 	0.880578	0.00599953	0.404932	-34.7887
938	 9.38-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.491589	 -34.3073	 1.94634	 0.428413	 0.00937391	 0.735193	 48.5995	 0.270571	 0.0809195	 5.88339	 20.1756	 	0.87913	0.0060486	0.406214	-34.9904
939	 9.39-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.493168	 -34.5171	 1.93153	 0.433242	 0.00946895	 0.731246	 49.0203	 0.272276	 0.0807157	 5.82287	 20.3261	 	0.877656	0.00609848	0.407503	-35.1937
940	 9.4-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.494739	 -34.7275	 1.91666	 0.438162	 0.00956567	 0.727233	 49.4437	 0.273997	 0.0805109	 5.76189	 20.478	 	0.876155	0.00614921	0.408798	-35.3985
941	 9.41-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.496299	 -34.9387	 1.90174	 0.443175	 0.00966412	 0.723152	 49.8694	 0.275734	 0.0803051	 5.70045	 20.6312	 	0.874628	0.00620079	0.4101	-35.6048
942	 9.42-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.497849	 -35.1505	 1.88676	 0.448284	 0.00976432	 0.719003	 50.2977	 0.277489	 0.0800982	 5.63856	 20.7857	 	0.873072	0.00625324	0.411409	-35.8127
943	 9.43-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.499386	 -35.3629	 1.87173	 0.453491	 0.00986633	 0.714784	 50.7283	 0.27926	 0.0798904	 5.5762	 20.9416	 	0.871489	0.00630659	0.412724	-36.0221
944	 9.44-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.500911	 -35.5758	 1.85665	 0.458798	 0.00997018	 0.710496	 51.1612	 0.281049	 0.0796815	 5.51338	 21.0988	 	0.869876	0.00636085	0.414045	-36.2331
945	 9.45-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.502423	 -35.7891	 1.84151	 0.464207	 0.0100759	 0.706137	 51.5965	 0.282855	 0.0794717	 5.45008	 21.2575	 	0.868234	0.00641606	0.415374	-36.4456
946	 9.46-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.503919	 -36.0028	 1.82633	 0.469722	 0.0101836	 0.701706	 52.034	 0.284679	 0.0792608	 5.38631	 21.4175	 	0.866563	0.00647222	0.416709	-36.6598
947	 9.47-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.505399	 -36.2168	 1.81109	 0.475344	 0.0102932	 0.697204	 52.4737	 0.28652	 0.0790489	 5.32206	 21.579	 	0.86486	0.00652936	0.418051	-36.8756
948	 9.48-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.506862	 -36.431	 1.7958	 0.481077	 0.0104049	 0.692629	 52.9156	 0.288379	 0.0788359	 5.25732	 21.7419	 	0.863126	0.0065875	0.419399	-37.093
949	 9.49-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.508306	 -36.6453	 1.78047	 0.486923	 0.0105186	 0.687981	 53.3596	 0.290256	 0.078622	 5.19209	 21.9064	 	0.861361	0.00664667	0.420755	-37.3121
950	 9.5-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.509731	 -36.8597	 1.76508	 0.492885	 0.0106345	 0.683259	 53.8056	 0.292152	 0.078407	 5.12637	 22.0723	 	0.859562	0.0067069	0.422117	-37.5328
951	 9.51-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.511134	 -37.074	 1.74965	 0.498966	 0.0107525	 0.678463	 54.2536	 0.294065	 0.0781909	 5.06016	 22.2398	 	0.85773	0.0067682	0.423487	-37.7552
952	 9.52-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.512515	 -37.2882	 1.73417	 0.50517	 0.0108727	 0.673593	 54.7035	 0.295998	 0.0779739	 4.99344	 22.4088	 	0.855865	0.0068306	0.424863	-37.9793
953	 9.53-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.513872	 -37.502	 1.71865	 0.511498	 0.0109952	 0.668647	 55.1552	 0.297949	 0.0777558	 4.92621	 22.5794	 	0.853964	0.00689413	0.426246	-38.2051
954	 9.54-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.515204	 -37.7156	 1.70308	 0.517955	 0.01112	 0.663625	 55.6087	 0.299919	 0.0775366	 4.85847	 22.7516	 	0.852028	0.00695881	0.427636	-38.4326
955	 9.55-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.516509	 -37.9286	 1.68746	 0.524543	 0.0112473	 0.658528	 56.0639	 0.301908	 0.0773164	 4.79022	 22.9255	 	0.850056	0.00702467	0.429034	-38.6619
956	 9.56-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.517785	 -38.141	 1.67181	 0.531267	 0.0113769	 0.653354	 56.5206	 0.303916	 0.0770952	 4.72144	 23.101	 	0.848046	0.00709175	0.430438	-38.8929
957	 9.57-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.519031	 -38.3527	 1.65611	 0.538129	 0.0115091	 0.648103	 56.9789	 0.305944	 0.0768729	 4.65214	 23.2783	 	0.845999	0.00716006	0.43185	-39.1257
958	 9.58-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.520245	 -38.5635	 1.64037	 0.545133	 0.0116438	 0.642776	 57.4386	 0.307992	 0.0766495	 4.5823	 23.4574	 	0.843914	0.00722964	0.433269	-39.3602
959	 9.59-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.521426	 -38.7733	 1.62459	 0.552284	 0.0117812	 0.637372	 57.8996	 0.310059	 0.0764251	 4.51193	 23.6382	 	0.841789	0.00730052	0.434695	-39.5966
960	 9.6-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.52257	 -38.982	 1.60878	 0.559584	 0.0119213	 0.631891	 58.3618	 0.312147	 0.0761996	 4.44102	 23.8209	 	0.839623	0.00737274	0.436128	-39.8348
961	 9.61-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.523677	 -39.1893	 1.59292	 0.567039	 0.0120641	 0.626333	 58.8251	 0.314255	 0.075973	 4.36956	 24.0054	 	0.837417	0.00744631	0.437569	-40.0749
962	 9.62-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.524745	 -39.3951	 1.57703	 0.574652	 0.0122098	 0.620698	 59.2894	 0.316383	 0.0757454	 4.29754	 24.1918	 	0.835169	0.00752128	0.439017	-40.3168
963	 9.63-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.52577	 -39.5993	 1.5611	 0.582427	 0.0123584	 0.614986	 59.7546	 0.318532	 0.0755167	 4.22496	 24.3803	 	0.832878	0.00759768	0.440472	-40.5606
964	 9.64-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.526752	 -39.8017	 1.54514	 0.59037	 0.01251	 0.609198	 60.2206	 0.320702	 0.0752869	 4.15182	 24.5707	 	0.830543	0.00767554	0.441935	-40.8063
965	 9.65-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.527687	 -40.002	 1.52915	 0.598484	 0.0126646	 0.603333	 60.6871	 0.322894	 0.075056	 4.07811	 24.7632	 	0.828164	0.00775491	0.443405	-41.0539
966	 9.66-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.528575	 -40.2002	 1.51312	 0.606774	 0.0128224	 0.597391	 61.1541	 0.325106	 0.0748241	 4.00382	 24.9578	 	0.825739	0.00783581	0.444883	-41.3035
967	 9.67-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.529411	 -40.3959	 1.49707	 0.615246	 0.0129834	 0.591374	 61.6215	 0.327341	 0.074591	 3.92895	 25.1545	 	0.823267	0.00791829	0.446368	-41.5551
