iteration	t(ms)	m	h	n	V(mV)	E_L(mV)	g_L(mS_per_cm2)	Cm(microF_per_cm2)	E_K(mV)	g_K(milliS_per_cm2)	E_Na(mV)	g_Na(mS_per_cm2)	i_stim(microA_per_cm2)	Na_conductance(mS_per_cm2)	i_Na(microA_per_cm2)	alpha_m(per_ms)	beta_m(per_ms)	alpha_h(per_ms)	beta_h(per_ms)	i_K(microA_per_cm2)	alpha_n(per_ms)	beta_n(per_ms)	i_L(microA_per_cm2)	i_tot(microA_per_cm2)
34	0.34	0.051791457	0.599962479	0.324464605	-75.15735959	-64.387	0.3	1	-87	36	40	120	0	0.009996956	-1.151188494	0.22120261	4.034345852	0.070540716	0.046735442	4.727559907	0.057678214	0.125240695	-3.230068969	0.346302443
35	0.35	0.051798569	0.599964415	0.324447784	-75.16078268	-64.387	0.3	1	-87	36	40	120	0	0.010001836	-1.15178501	0.22114973	4.035122096	0.070552931	0.046720017	4.725201749	0.057666566	0.125246116	-3.231107877	0.342308862
36	0.36	0.051804485	0.599966488	0.324430898	-75.16416692	-64.387	0.3	1	-87	36	40	120	0	0.010005989	-1.152297541	0.221097471	4.035889534	0.070565007	0.046704773	4.722856422	0.057655054	0.125251476	-3.232134803	0.338424078
37	0.37	0.051809267	0.599968697	0.32441395	-75.16751335	-64.387	0.3	1	-87	36	40	120	0	0.010009453	-1.152730284	0.221045815	4.036648407	0.070576949	0.046689708	4.720523561	0.057643674	0.125256774	-3.233150075	0.334643202
38	0.38	0.051812972	0.59997104	0.324396939	-75.17082297	-64.387	0.3	1	-87	36	40	120	0	0.010012261	-1.153087256	0.220994746	4.037398942	0.070588759	0.046674815	4.718202816	0.057632424	0.125262014	-3.234154005	0.330961556
39	0.39	0.051815656	0.599973515	0.324379867	-75.17409671	-64.387	0.3	1	-87	36	40	120	0	0.010014449	-1.153372294	0.220944249	4.038141357	0.070600441	0.046660091	4.715893855	0.057621299	0.125267196	-3.23514689	0.327374671
40	0.4	0.051817371	0.599976121	0.324362736	-75.17733549	-64.387	0.3	1	-87	36	40	120	0	0.010016046	-1.15358907	0.22089431	4.03887586	0.070611998	0.046645531	4.713596363	0.057610296	0.125272322	-3.236129014	0.323878279
41	0.41	0.051818168	0.599978856	0.324345546	-75.18054018	-64.387	0.3	1	-87	36	40	120	0	0.010017084	-1.15374109	0.220844913	4.03960265	0.070623434	0.04663113	4.711310038	0.057599412	0.125277394	-3.237100648	0.320468299
42	0.42	0.051818095	0.599981718	0.324328298	-75.18371159	-64.387	0.3	1	-87	36	40	120	0	0.010017592	-1.153831705	0.220796047	4.040321916	0.070634751	0.046616885	4.709034596	0.057588644	0.125282413	-3.238062053	0.317140837
43	0.43	0.051817198	0.599984707	0.324310994	-75.18685051	-64.387	0.3	1	-87	36	40	120	0	0.010017598	-1.153864117	0.220747696	4.041033841	0.070645953	0.046602792	4.706769765	0.057577989	0.125287379	-3.239013476	0.313892172
44	0.44	0.051815521	0.59998782	0.324293634	-75.1899577	-64.387	0.3	1	-87	36	40	120	0	0.010017128	-1.153841382	0.22069985	4.041738596	0.070657041	0.046588848	4.704515287	0.057567446	0.125292295	-3.239955152	0.310718752
45	0.45	0.051813104	0.599991056	0.32427622	-75.19303387	-64.387	0.3	1	-87	36	40	120	0	0.010016207	-1.153766421	0.220652497	4.042436347	0.070668019	0.046575048	4.702270917	0.05755701	0.125297162	-3.240887309	0.307617187
46	0.46	0.051809988	0.599994414	0.324258752	-75.19607971	-64.387	0.3	1	-87	36	40	120	0	0.010014859	-1.153642021	0.220605625	4.043127252	0.070678889	0.04656139	4.700036422	0.05754668	0.12530198	-3.24181016	0.304584241
47	0.47	0.05180621	0.599997892	0.324241231	-75.19909588	-64.387	0.3	1	-87	36	40	120	0	0.010013108	-1.153470843	0.220559224	4.043811462	0.070689654	0.04654787	4.697811582	0.057536453	0.12530675	-3.242723913	0.301616826
48	0.48	0.051801807	0.600001488	0.324223659	-75.202083	-64.387	0.3	1	-87	36	40	120	0	0.010010976	-1.153255427	0.220513283	4.044489119	0.070700316	0.046534486	4.695596186	0.057526327	0.125311475	-3.243628763	0.298711995
49	0.49	0.051796812	0.600005203	0.324206036	-75.20504167	-64.387	0.3	1	-87	36	40	120	0	0.010008484	-1.152998197	0.220467792	4.045160362	0.070710876	0.046521234	4.693390035	0.0575163	0.125316154	-3.244524899	0.295866938
50	0.5	0.051791259	0.600009033	0.324188363	-75.20797246	-64.387	0.3	1	-87	36	40	120	0	0.010005651	-1.152701465	0.220422743	4.045825322	0.070721337	0.046508112	4.69119294	0.05750637	0.125320789	-3.2454125	0.293078974
51	0.51	0.051785179	0.600012979	0.324170641	-75.21087591	-64.387	0.3	1	-87	36	40	120	0	0.010002497	-1.152367438	0.220378127	4.046484124	0.070731701	0.046495117	4.689004721	0.057496534	0.12532538	-3.246291737	0.290345545
52	0.52	0.051778601	0.600017038	0.32415287	-75.21375255	-64.387	0.3	1	-87	36	40	120	0	0.009999041	-1.151998221	0.220333934	4.047136887	0.07074197	0.046482247	4.686825208	0.057486792	0.125329928	-3.247162774	0.287664214
53	0.53	0.051771553	0.60002121	0.324135053	-75.21660288	-64.387	0.3	1	-87	36	40	120	0	0.009995298	-1.15159582	0.220290157	4.047783725	0.070752146	0.046469499	4.684654241	0.057477141	0.125334435	-3.248025766	0.285032655
54	0.54	0.051764064	0.600025492	0.324117189	-75.21942737	-64.387	0.3	1	-87	36	40	120	0	0.009991287	-1.151162149	0.220246788	4.048424749	0.07076223	0.046456871	4.682491665	0.057467579	0.125338901	-3.248880864	0.282448651
55	0.55	0.051756157	0.600029885	0.324099279	-75.22222647	-64.387	0.3	1	-87	36	40	120	0	0.009987023	-1.150699034	0.22020382	4.049060061	0.070772224	0.04644436	4.680337335	0.057458106	0.125343326	-3.24972821	0.27991009
56	0.56	0.051747859	0.600034387	0.324081324	-75.22500062	-64.387	0.3	1	-87	36	40	120	0	0.00998252	-1.150208215	0.220161245	4.049689761	0.07078213	0.046431965	4.678191115	0.057448718	0.125347712	-3.250567941	0.277414959
57	0.57	0.051739192	0.600038996	0.324063325	-75.22775023	-64.387	0.3	1	-87	36	40	120	0	0.009977794	-1.149691351	0.220119056	4.050313945	0.070791949	0.046419684	4.676052873	0.057439416	0.125352058	-3.251400185	0.274961337
58	0.58	0.051730178	0.600043712	0.324045283	-75.23047571	-64.387	0.3	1	-87	36	40	120	0	0.009972858	-1.149150021	0.220077247	4.050932703	0.070801682	0.046407514	4.673922487	0.057430197	0.125356367	-3.252225069	0.272547396
59	0.59	0.05172084	0.600048534	0.324027198	-75.23317742	-64.387	0.3	1	-87	36	40	120	0	0.009967725	-1.148585734	0.220035813	4.051546123	0.070811331	0.046395455	4.671799839	0.05742106	0.125360638	-3.253042712	0.270171393
60	0.6	0.051711196	0.600053459	0.324009072	-75.23585574	-64.387	0.3	1	-87	36	40	120	0	0.009962408	-1.147999925	0.219994746	4.052154286	0.070820897	0.046383503	4.669684819	0.057412003	0.125364871	-3.253853226	0.267831669
61	0.61	0.051701266	0.600058488	0.323990904	-75.238511	-64.387	0.3	1	-87	36	40	120	0	0.009956918	-1.147393962	0.219954042	4.052757273	0.070830382	0.046371658	4.667577323	0.057403027	0.125369068	-3.254656721	0.26552664
62	0.62	0.051691069	0.600063619	0.323972695	-75.24114355	-64.387	0.3	1	-87	36	40	120	0	0.009951267	-1.146769147	0.219913694	4.053355159	0.070839786	0.046359917	4.66547725	0.057394128	0.12537323	-3.255453301	0.263254802
63	0.63	0.051680622	0.600068852	0.323954447	-75.2437537	-64.387	0.3	1	-87	36	40	120	0	0.009945465	-1.146126724	0.219873698	4.053948016	0.070849111	0.04634828	4.663384508	0.057385307	0.125377355	-3.256243065	0.261014719
64	0.64	0.051669941	0.600074184	0.32393616	-75.24634175	-64.387	0.3	1	-87	36	40	120	0	0.009939522	-1.145467873	0.219834048	4.054535914	0.070858358	0.046336744	4.661299008	0.057376562	0.125381446	-3.257026109	0.258805025
65	0.65	0.051659043	0.600079615	0.323917835	-75.24890799	-64.387	0.3	1	-87	36	40	120	0	0.00993345	-1.144793722	0.21979474	4.05511892	0.070867528	0.046325309	4.659220666	0.057367892	0.125385502	-3.257802524	0.256624419
66	0.66	0.051647943	0.600085144	0.323899472	-75.25145271	-64.387	0.3	1	-87	36	40	120	0	0.009927255	-1.144105343	0.21975577	4.055697096	0.070876622	0.046313973	4.657149403	0.057359295	0.125389524	-3.258572398	0.254471662
67	0.67	0.051636655	0.600090771	0.323881072	-75.25397616	-64.387	0.3	1	-87	36	40	120	0	0.009920949	-1.143403757	0.219717132	4.056270503	0.07088564	0.046302734	4.655085144	0.057350772	0.125393513	-3.259335813	0.252345575
68	0.68	0.051625192	0.600096493	0.323862635	-75.25647861	-64.387	0.3	1	-87	36	40	120	0	0.009914538	-1.142689935	0.219678823	4.056839199	0.070894585	0.046291592	4.653027819	0.057342322	0.125397468	-3.260092849	0.250245034
69	0.69	0.051613568	0.600102311	0.323844163	-75.2589603	-64.387	0.3	1	-87	36	40	120	0	0.009908031	-1.141964805	0.219640838	4.057403241	0.070903456	0.046280546	4.650977361	0.057333942	0.125401391	-3.260843584	0.248168971
70	0.7	0.051601795	0.600108222	0.323825656	-75.26142147	-64.387	0.3	1	-87	36	40	120	0	0.009901436	-1.141229246	0.219603175	4.05796268	0.070912254	0.046269593	4.648933707	0.057325633	0.125405281	-3.261588091	0.246116369
71	0.71	0.051589886	0.600114227	0.323807115	-75.26386233	-64.387	0.3	1	-87	36	40	120	0	0.00989476	-1.140484097	0.219565828	4.058517569	0.070920981	0.046258734	4.646896798	0.057317393	0.125409139	-3.262326441	0.24408626
72	0.72	0.051577851	0.600120324	0.32378854	-75.26628311	-64.387	0.3	1	-87	36	40	120	0	0.009888009	-1.139730156	0.219528795	4.059067955	0.070929637	0.046247966	4.644866578	0.057309223	0.125412966	-3.263058699	0.242077723
73	0.73	0.051565701	0.600126512	0.323769931	-75.26868401	-64.387	0.3	1	-87	36	40	120	0	0.009881191	-1.138968182	0.219492072	4.059613886	0.070938223	0.046237289	4.642842995	0.05730112	0.125416761	-3.263784932	0.240089881
74	0.74	0.051553446	0.600132791	0.32375129	-75.27106523	-64.387	0.3	1	-87	36	40	120	0	0.009874312	-1.138198897	0.219455656	4.060155407	0.070946739	0.046226703	4.640825998	0.057293085	0.125420525	-3.264505202	0.238121899
75	0.75	0.051541096	0.600139159	0.323732617	-75.27342696	-64.387	0.3	1	-87	36	40	120	0	0.009867376	-1.137422988	0.219419543	4.06069256	0.070955187	0.046216205	4.638815542	0.057285117	0.125424258	-3.265219568	0.236172986
76	0.76	0.05152866	0.600145615	0.323713913	-75.27576938	-64.387	0.3	1	-87	36	40	120	0	0.009860391	-1.136641109	0.219383732	4.061225387	0.070963566	0.046205796	4.636811582	0.057277215	0.125427961	-3.265928087	0.234242386
77	0.77	0.051516148	0.600152159	0.323695179	-75.27809267	-64.387	0.3	1	-87	36	40	120	0	0.009853362	-1.135853882	0.219348218	4.061753928	0.070971878	0.046195473	4.634814077	0.057269378	0.125431633	-3.266630814	0.232329381
78	0.78	0.051503567	0.60015879	0.323676414	-75.28039701	-64.387	0.3	1	-87	36	40	120	0	0.009846293	-1.135061897	0.219312999	4.06227822	0.070980123	0.046185238	4.632822988	0.057261606	0.125435276	-3.267327802	0.230433289
79	0.79	0.051490926	0.600165506	0.323657619	-75.28268254	-64.387	0.3	1	-87	36	40	120	0	0.00983919	-1.134265716	0.219278072	4.0627983	0.070988301	0.046175088	4.630838278	0.057253898	0.125438889	-3.268019102	0.22855346
80	0.8	0.051478231	0.600172308	0.323638796	-75.28494943	-64.387	0.3	1	-87	36	40	120	0	0.009832057	-1.133465873	0.219243435	4.063314203	0.070996414	0.046165023	4.628859914	0.057246254	0.125442473	-3.268704762	0.226689278
81	0.81	0.051465492	0.600179194	0.323619944	-75.28719784	-64.387	0.3	1	-87	36	40	120	0	0.009824898	-1.132662877	0.219209085	4.063825963	0.071004462	0.046155042	4.626887862	0.057238673	0.125446027	-3.26938483	0.224840155
82	0.82	0.051452713	0.600186163	0.323601064	-75.28942789	-64.387	0.3	1	-87	36	40	120	0	0.009817718	-1.13185721	0.21917502	4.064333612	0.071012444	0.046145144	4.624922094	0.057231154	0.125449553	-3.270059351	0.223005533
83	0.83	0.051439902	0.600193214	0.323582157	-75.29163974	-64.387	0.3	1	-87	36	40	120	0	0.009810521	-1.131049329	0.219141237	4.064837181	0.071020363	0.046135329	4.62296258	0.057223698	0.12545305	-3.270728367	0.221184883
84	0.84	0.051427066	0.600200347	0.323563224	-75.29383352	-64.387	0.3	1	-87	36	40	120	0	0.00980331	-1.130239672	0.219107735	4.065336701	0.071028218	0.046125597	4.621009294	0.057216303	0.125456519	-3.271391922	0.2193777
85	0.85	0.051414209	0.600207561	0.323544264	-75.29600935	-64.387	0.3	1	-87	36	40	120	0	0.009796089	-1.129428652	0.219074511	4.0658322	0.071036009	0.046115945	4.619062212	0.057208969	0.125459959	-3.272050055	0.217583505
86	0.86	0.051401338	0.600214854	0.323525278	-75.29816737	-64.387	0.3	1	-87	36	40	120	0	0.009788861	-1.128616661	0.219041563	4.066323707	0.071043738	0.046106375	4.617121309	0.057201696	0.125463371	-3.272702805	0.215801843
87	0.87	0.051388458	0.600222227	0.323506268	-75.30030769	-64.387	0.3	1	-87	36	40	120	0	0.009781631	-1.127804073	0.219008889	4.066811247	0.071051404	0.046096885	4.615186566	0.057194484	0.125466756	-3.273350211	0.214032281
88	0.88	0.051375574	0.600229678	0.323487233	-75.30243044	-64.387	0.3	1	-87	36	40	120	0	0.009774399	-1.126991243	0.218976487	4.067294847	0.071059008	0.046087474	4.61325796	0.057187331	0.125470113	-3.273992308	0.212274409
89	0.89	0.051362691	0.600237206	0.323468174	-75.30453572	-64.387	0.3	1	-87	36	40	120	0	0.009767171	-1.126178506	0.218944355	4.067774533	0.07106655	0.046078143	4.611335474	0.057180238	0.125473442	-3.274629131	0.210527836
